term,pos,notes,is_case_sensitive,translation_af,notes_af,translation_ar,notes_ar,translation_ar_eg,notes_ar_eg,translation_ar_iq,notes_ar_iq,translation_az,notes_az,translation_az_az,notes_az_az,translation_bn,notes_bn,translation_bn_bd,notes_bn_bd,translation_bn_in,notes_bn_in,translation_ca,notes_ca,translation_cmn,notes_cmn,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_es,notes_es,translation_es_419,notes_es_419,translation_es_ar,notes_es_ar,translation_es_co,notes_es_co,translation_es_es,notes_es_es,translation_es_mx,notes_es_mx,translation_et,notes_et,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_hi,notes_hi,translation_hi_in,notes_hi_in,translation_hu,notes_hu,translation_id,notes_id,translation_id_id,notes_id_id,translation_it,notes_it,translation_it_it,notes_it_it,translation_ja,notes_ja,translation_ka,notes_ka,translation_kn,notes_kn,translation_ko,notes_ko,translation_ko_kr,notes_ko_kr,translation_ky,notes_ky,translation_lo_la,notes_lo_la,translation_lt,notes_lt,translation_mn,notes_mn,translation_mr,notes_mr,translation_mr_in,notes_mr_in,translation_ms,notes_ms,translation_my,notes_my,translation_nb,notes_nb,translation_ne,notes_ne,translation_nl,notes_nl,translation_pa,notes_pa,translation_pl,notes_pl,translation_pl_pl,notes_pl_pl,translation_ps,notes_ps,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_pt_mz,notes_pt_mz,translation_pt_pt,notes_pt_pt,translation_ro,notes_ro,translation_ru,notes_ru,translation_ru_ru,notes_ru_ru,translation_si_lk,notes_si_lk,translation_sq_al,notes_sq_al,translation_sv,notes_sv,translation_te,notes_te,translation_tr,notes_tr,translation_tzm,notes_tzm,translation_uk,notes_uk,translation_uk_ua,notes_uk_ua,translation_ur,notes_ur,translation_vi,notes_vi,translation_zh,notes_zh,translation_zh-hans,notes_zh-hans,translation_zh_cn,notes_zh_cn,translation_zh_hk,notes_zh_hk,translation_zh_sg,notes_zh_sg,translation_zh_tw,notes_zh_tw
FAQ,noun,"Acronym for ""Frequently Asked Questions""",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Συχνές Ερωτήσεις,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAQ,,,,,,자주하는 질문,,,,,,,,,,,,,,,,,,,,,,,,,,,,Często Zadawane Pytania,,,,,,,,FAQ,"Opcionalmente, considere adicionar um ""Perguntas frequentes"" próximo.",,,FAQ,"""Perguntas frequentes""",,,ЧаВо||Часто задаваемые вопросы,Часто задаваемые вопросы,,,,,,,,,,,,,,,ЧаП,Англійсько-український словник сучасних термінів з ІТ,Що?,Акронім від «Часті запитання»,,,,,,,,,常见问题,,,,,,,
FIFO,adjective,First In First Out,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pierwsze Wchodzi Pierwsze Wychodzi,,,,,,,,FIFO,"primeiro a entrar, primeiro a sair",,,FIFO,"Primeiro a entrar, primeiro a sair",,,FIFO,"Первый вошёл — первый вышел
Широко известная аббревиатура — остаётся без перевода.",,,,,,,,,,,,,,,FIFO,,фіфо,"Перший прийшов, перший вийшов",,,,,,,,,先进先出,,,,,,,
GMT,noun,Greenwich Mean Time,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czas Środkowoeuropejski,,,,,,,,GMT,"Tempo Médio de Greenwich
Gênero masculino",,,GMT,Hora Média de Greenwich,,,GMT||Среднее время по Гринвичу,,,,,,,,,,,,,,,,GMT,,GMT,Середній час за Гринвічем,,,,,,,,,格林尼治标准时,等价于 UTC+0,,,,,,
GUI,noun,Graphical User Interface,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interfejs Graficzny,,,,,,,,GUI,"GUI = Interface gráfica do usuário
Gênero feminino",,,GUI||gráfico,Interface gráfica do utilizador,,,GUI,,,,,,,,,,,,,,,,ГІК,Графічний інтерфейс користувача,графічний інтерфейс,,,,,,,,,,图形用户界面,,,,,,,
HOWTO||HOWTOs,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Οδηγίες,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOWTO,,,,,,HOWTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,Przewodnik,,,,,,,,COMOFAZER,,,,Como fazer||Guias||guia||HOWTO||HOWTOs,,,,КАК СДЕЛАТЬ,,,,,,,,,,,,,,,,HOWTO,,я зробити  інструкції,,,,,,,,,,指南,,,,,,,
IDE,noun,Integrated Development Environment,true,,,بيئة تطوير متكاملة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDE,,,,,,통합 개발 환경,,,,,,,,,,,,,,,,,,,,,,,,,,,,zintegrowane środowisko programistyczne,,,,,,,,IDE,"Ambiente de Desenvolvimento Integrado
Gênero feminino.",,,IDE,Ambiente de Desenvolvimento Integrado,,,IDE,"Интегрированная среда разработки
Широко известная аббревиатура — остаётся без перевода.",,,,,,,,,,,,,,,Інтегроване середовище розробки,,IDE,,,,,,,,,,集成开发环境,,,,,,,
IDLE,noun,Integrated Development and Learning Environment,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDLE,,,,,,,,IDLE,"Ambiente de desenvolvimento e aprendizado integrado
Gênero masculino",,,IDLE,Ambiente integrado de desenvolvimento e aprendizagem,,,IDLE,Интегрированная среда разработки для Python’а — остаётся без перевода.,,,,,,,,,,,,,,,IDLE,"Власна назва, абревіатура.",IDLE,,,,,,,,,,集成开发学习环境,,,,,,,
LBYL,,"Acronym for ""Look Before You Leap""",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBYL,"OAS: Olhe antes de saltar

Look before you leap",,,LBYL,“Olhe antes de saltar”,,,LBYL,"Посмотри, прежде чем прыгнуть
Русскоязычная аббревиатура неизвестна — остаётся без перевода.",,,,,,,,,,,,,,,"Не лізь у воду, не знаючи броду",,LBYL,,,,,,,,,,三思而后行,,,,,,,
LIFO,adjective,Last In First Out,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ostanie Wchodzi Pierwsze Wychodzi,,,,,,,,"Último dentro, primeiro fora (LIFO)","último a entrar, primeiro a sair",,,LIFO,"Último a entrar, primeiro a sair",,,LIFO,"Последний вошёл — первый вышел
Широко известная аббревиатура — остаётся без перевода.",,,,,,,,,,,,,,,Стек,Структура з принципом «Останнім записано - першим прочитано»,LIFO,,,,,,,,,,后进先出,,,,,,,
MRO,noun,Method Resolution Order,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRO,"MRO = ordem de resolução de métodos
Gênero feminino.",,,MRO,Ordem de resolução do método,,,MRO,"Порядок разрешения методов
Известная аббревиатура — остаётся без перевода.",,,,,,,,,,,,,,,Визначення порядку методів,,MRO,,,,,,,,,,方法解析顺序,,,,,,,
PEG,noun,https://en.wikipedia.org/wiki/Parsing_expression_grammar,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GASE,https://pt.wikipedia.org/wiki/Gramática_de_análise_sintática_de_expressão,,,PEG,Gramática de expressões de análise sintática,,,PEG,,,,,,,,,,,,,,,,"ГРВ (Граматика, яка розбирає вираз)",,PEG,,,,,,,,,,解析表达式文法,,,,,,,
predefined,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,定義済み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wstępnie określone||wbudowane||domyślne,,,,,,,,predefinido||predefinidos||predefinida||predefinidas,,,,predefinido||predefinidos||predefinidas||predefinida,,,,предопределённый,,,,,,,,,,,,,,,,Попередньо визначений,,predefined,,,,,,,,,,预定义,,,,,,,
Pythonic,adjective,,false,,,بايثوني,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pythonらしい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pythoniczny,,,,,,,,pythônico,Em pt-br não se usa inicial maiúscula em adjetivos como este,,,pythónico,,,,идиоматический||свойственный Python||питонический,,,,,,,,,,,,Pythonik,,,,Pythonic,,Pythonic,,,,,,,,,,Pythonic,很 Python 的,,,,,,
RFC,noun,Request for Comments,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RFC,,,,,,,,RFC,"Request for Comments (""solicitação por comentários"", em português)

Usar no feminino, ou seja, ""a RFC"" e NÃO ""o RFC"". Referência: Redes de Computadores 5ª edição, Tanenbaum e Wetherall.",,,RFC,Pedido de Comentários,,,RFC,,,,,,,,,,,,,,,,RFC (Запит коментарів),,RFC,,,,,,,,,,RFC,请求评论,,,,,,
RLE,noun,Run-length Encoding,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RLE,,,,RLE,Codificação por Comprimento,,,RLE,,,,,,,,,,,,,,,,,,RLE,,,,,,,,,,游程编码,,,,,,,
Standard C,noun,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standardowe C,,,,,,,,Standard C,Não é traduzido por ser um nome próprio.,,,C padrão||padrão C,,,,Стандартный язык C,,,,,,,,,,,,,,,,Standard C,,Standard C,,,,,,,,,,C 标准,C 语言标准,,,,,,
URL||URLs,noun,Uniform Resource Locator,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URL,,,,,,,,Alocador de Recurso Uniforme (URL)||URL||URLs,,,,URL||URLs,Localizador Uniforme de Recursos,,,URL,"Единый указатель ресурса
Широко используемая аббревиатура — остаётся без перевода.",,,,,,,,,,,,,,,URL,,URL||URLs,,,,,,,,,,URL,统一资源定位地址,,,,,,
UTC,noun,Coordinated Universal Time,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTC,,,,,,,,Horário Universal Coordenado (UTC)||UTC,"Use por extenso+abreviação na primeira ocorrência, use apenas a abreviação nas ocorrências seguintes",,,UTC,Tempo Universal Coordenado,,,UTC,"Всемирное координированное время
Широко используемая аббревиатура – остаётся без перевода.",,,,,,,,,,,,,,,UTC,,UTC,,,,,,UTC,世界协调时,,,协调世界时,,,,,,,
Unix,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unix,,,,,,,,Unix,Gênero masculino.,,,Unix,,,,Unix,Название операционной системы — не переводится.,,,,,,,,,,,,,,,Unix,,Unix,,,,,,Unix,一种操作系统,,,Unix,,,,,,,
Unix domain socket,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unix ドメインソケット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gniazdo domeny Unix,,,,,,,,Soquete de domínio Unix,,,,Socket de domínio Unix,,,,сокет домена Unix,,,,,,,,,,,,,,,,Сокет домену в Unix,,Unix domain socket,,,,,,,,,,Unix 域套接字,Unix 域名(?) 套接字,,,,,,
usage,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,użytek||użycie,,,,,,,,modo de usar||uso,,,,utilização||uso||usos||usada,,,,Использование,,,,,,,,,,,,,,,,Використання,,usage,,,,,,,,,,用法,,,,,,,
Zen of Python,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zen of Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zen Pythona,,,,,,,,Zen do Python,,,,Zen do Python,,,,Дзен Python,,,,,,,,,,,,,,,,Дзен Пайтона,,Zen of Python,,,,,,,,,,Python 之禅,,,,,,,
abstract base class||abstract base classes||ABC||ABCs,noun,,false,,,الكلاسات الأساسية المجردة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抽象基底クラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abstrakcyjna klasa bazowa,,,,,,,,classe base abstrata||classes base abstratas||ABC||ABCs,Sigla em gênero feminino,,,classe base abstrata||classes base abstratas||ABC||ABCs,,,,абстрактный базовый класс,,,,,,,,,,,,,,,,абстрактний базовий клас,,abstract base class||abstract base classes||ABC||ABCs,,,,,,,,,,抽象基类,,,,,,,
alias||aliases,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,エイリアス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alias,,,,,,,,apelido||apelidos,"Também é aceitável em alguns casos o uso de ""atalho""",,,alias||aliases,,,,псевдоним,,,,,,,,,,,,,,,,псевдо,,alias||aliases,,,,,,,,,,别名,,,,,,,
application||applications,noun,,false,,,تطبيق,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アプリケーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aplikacja||aplikacji,,,,,,,,aplicação||aplicações,,,,aplicação||aplicações||Application||Applications,,,,приложение||программа||применение,,,,,,,,,,,,,,,,застосунок||програма,,application||applications,,,,,,,,,,应用,,,,,,,
argument||arguments,noun,,false,,,معطى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,引数||実引数,一般的にはargumentとparameterには区別が無く「引数」と訳されるが、Python公式ドキュメントでは「(実) 引数 (argument)」「パラメータ/(仮)引数 (parameter)」と使い分けているのでそれに従って翻訳する。,არგუმენტი,,,,인자,,,,,,,,,,,,,,,,,,,,,,,,,,,,argument,,,,,,,,argumento||argumentos,,,,argumento||argumentos||arguments||argument,,,,аргумент||аргументы,,,,,,,,,,,,,,,,аргумент,,argument||arguments,,,,,,,,,,参数,【需要注意】argument 指实际参数，译文建议统一为“参数”；parameter 指形式参数，译文建议统一为“形参”。,,,,,,
array,noun,,false,,,مصفوفة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,配列,,,,,,배열,,,,,,,,,,,,,,,,,,,,,,,,,,,,tablica,,,,,,,,vetor,"Em programação, vetor é uma estrutura de dados que armazena uma coleção de elementos de tal forma que cada um dos elementos possa ser identificado por um índice.

A adoção por vetor foi discutida pela equipe de tradução, e ela é válida apenas para os arrays unidimensionais. 

Python possui o tipo array, no módulo de mesmo nome. A classe de alto nível list também possui algumas similares.",,,array||arrays,,,,массив,,,,,,,,,,,,,,,,масив,,array,,,,,,数组,,,,数组,,,,,,,
assignment||assignments,noun,,false,,,تعيين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,代入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,przypisanie||przypisania,,,,,,,,atribuição||atribuições,,,,atribuição||atribuições||tarefas||atribuindo,,,,присваивание,,,,,,,,,,,,,,,,призначення,,assignment||assignments,,,,,,,,,,赋值,,,,,,,
asterisk,noun,,false,,,نجمة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symbol gwiazdki (*),,,,,,,,asterisco,cf. dicionário Houaiss,,,asterisco,,,,звёздочка||знак сноски,,,,,,,,,,,,,,,,зірочка,,asterisk,,,,,,,,,,星号,,,,,,,
asynchronous,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非同期,,ასინქრონული,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asynchroniczny(-a)||asynchronicznych||asynchroniczne,,,,,,,,assíncrono||assíncronos||assíncrona||assíncronas,"Algo que não está sincronizado, que não trabalha em sincronia com outra coisa. Programação assíncrona é uma abordagem de manipulação de dados.",,,assíncrono||assíncronas||assíncrona||assíncronos,,,,асинхронный,,,,,,,,,,,,,,,,асинхронний,,asynchronous,,,,,,,,,,异步,,,,,,,
asynchronous context manager||asynchronous context managers,noun,glossary term,false,,,مدير السياق غير المتزامن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非同期コンテキストマネージャ,訳語の揺れ (非同期コンテクストマネージャ、非同期コンテキスト管理者など) を排除するために「非同期コンテキストマネージャ」に統一する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asynchroniczny menedżer kontekstu,,,,,,,,gerenciador de contexto assíncrono||gerenciadores de contexto assíncronos,,,,gestor de contexto assíncrono||gestores de contexto assíncrono,,,,асинхронный контекстный менеджер,,,,,,,,,,,,,,,,Асинхронний контекстний менеджер,,asynchronous context manager||asynchronous context managers,,,,,,,,,,异步上下文管理器,,,,,,,
asynchronous generator||asynchronous generators,noun,glossary term,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非同期ジェネレータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generator asynchroniczny,,,,,,,,gerador assíncrono||geradores assíncronos,,,,gerador assíncrono||geradores assíncronos||geradora assíncrona,,,,асинхронный генератор,,,,,,,,,,,,,,,,асинхронний генератор,,asynchronous generator||asynchronous generators,,,,,,,,,,异步生成器,,,,,,,
